,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__subsample,param_clf__reg_lambda,param_clf__reg_alpha,param_clf__n_estimators,param_clf__min_child_weight,param_clf__max_depth,param_clf__gamma,param_clf__eta,param_clf__colsample_bytree,params,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,mean_train_f1,std_train_f1,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,mean_train_recall,std_train_recall,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
9,151.13633426030478,38.49414279869622,6.35618527730306,0.10778817531636269,0.92,0.00019952623149688788,0.001,93,8,3,2.7,0.03,0.91,"{'clf__subsample': 0.92, 'clf__reg_lambda': 0.00019952623149688788, 'clf__reg_alpha': 0.001, 'clf__n_estimators': 93, 'clf__min_child_weight': 8, 'clf__max_depth': 3, 'clf__gamma': 2.7, 'clf__eta': 0.03, 'clf__colsample_bytree': 0.91}",0.5572762038661124,0.5160486933490143,0.5683221998030844,0.5472156990060704,0.022495039272102127,1,0.5967396679526411,0.5967489762086006,0.5829613058800254,0.592149983347089,0.006497377258360977,0.5147755403968444,0.5090295819340122,0.5087927333957857,0.5108659519088806,0.002766187016626356,15,0.5299130523368438,0.525007623782754,0.5240560584568869,0.5263255781921615,0.002566300475577113,0.6074262532484278,0.5232640872240427,0.6436275269634437,0.5914392891453047,0.050421732565769775,1,0.6828533807517733,0.6912002542262273,0.6567857067977899,0.6769464472585969,0.014657402365258978,0.5134875,0.5103175,0.51114,0.5116483333333334,0.0013431373926577812,9,0.5315464754349105,0.526448571044329,0.5243885615733338,0.527461202684191,0.0030086541665641157,0.5200327164246346,0.5162852900662399,0.5176077683340695,0.5179752582749814,0.0015517920222334915,6,0.5479017135370984,0.5407097159159262,0.5368126723266045,0.541808033926543,0.004593214965674339
12,139.51656540234885,37.12949806390696,6.188889741897583,0.06509225507689992,0.8,0.07943282347242814,0.0012589254117941675,87,6,3,1.8,0.031,0.75,"{'clf__subsample': 0.8, 'clf__reg_lambda': 0.07943282347242814, 'clf__reg_alpha': 0.0012589254117941675, 'clf__n_estimators': 87, 'clf__min_child_weight': 6, 'clf__max_depth': 3, 'clf__gamma': 1.8, 'clf__eta': 0.031, 'clf__colsample_bytree': 0.75}",0.530800598920595,0.5094235754536629,0.5630906269882907,0.5344382671208495,0.022059957351975346,2,0.5905921102512426,0.5943797410042168,0.5820011675629604,0.5889910062728066,0.005178797838138828,0.5157265948787995,0.5088124443911266,0.5086431504142098,0.511060729894712,0.0032999886009859127,14,0.5303820599058785,0.5251755185019519,0.5242697921273772,0.5266091235117359,0.0026933711023033975,0.5467823206173501,0.5100361763320607,0.6305920707224753,0.562470189223962,0.050451381442149744,2,0.6662231133069986,0.6845906560512084,0.6540203769279238,0.6682780487620436,0.01256456820354187,0.51272,0.50987,0.5107325,0.5111075,0.0011933408984862225,11,0.531157779323588,0.5263406954809489,0.5245175764636628,0.5273386837560666,0.0028011972384671398,0.518924544449188,0.5161206344081765,0.5172596022836429,0.5174349270470024,0.0011513852407735252,7,0.5476127893631819,0.5403341681394979,0.5369220254929408,0.5416229943318736,0.004458618077979508
10,149.27148095766702,33.97837069390684,9.600001414616903,0.05889707866982181,0.61,0.000630957344480193,0.3981071705534972,75,5,8,3.2,0.04,0.69,"{'clf__subsample': 0.61, 'clf__reg_lambda': 0.000630957344480193, 'clf__reg_alpha': 0.3981071705534972, 'clf__n_estimators': 75, 'clf__min_child_weight': 5, 'clf__max_depth': 8, 'clf__gamma': 3.2, 'clf__eta': 0.04, 'clf__colsample_bytree': 0.69}",0.5602308508997196,0.5300718869107927,0.5101108837867193,0.5334712071990771,0.020602092283209392,3,0.6364330047892192,0.6183445453801458,0.6067824604043157,0.6205200035245603,0.012202135309959934,0.5162730800107038,0.5111042881997748,0.5154172430161752,0.5142648704088846,0.0022620159394821445,3,0.5839671768975856,0.5741363735287073,0.5703129399109548,0.5761388301124158,0.005751343101050264,0.6123708068003729,0.5505015582879876,0.5049126719435181,0.5559283456772929,0.04403710710113341,3,0.6992568989454171,0.6699286691143508,0.6482348124795165,0.6724734601797615,0.020907260270193285,0.51537,0.51299,0.51512,0.5144933333333334,0.0010679055305701354,1,0.5944849574604918,0.5807732664217172,0.574769714005823,0.5833426459626774,0.008251221709070057,0.5225976616762772,0.5180890549467815,0.523137930840844,0.5212748824879676,0.002263492218406518,1,0.6498494124384074,0.6279109926775285,0.6160965637355031,0.6312856562838131,0.01398463358433041
3,155.72122224171957,34.32394323801679,9.68673555056254,0.06953966485950519,0.6,0.000630957344480193,0.07943282347242814,78,4,8,1.1,0.017,0.61,"{'clf__subsample': 0.6, 'clf__reg_lambda': 0.000630957344480193, 'clf__reg_alpha': 0.07943282347242814, 'clf__n_estimators': 78, 'clf__min_child_weight': 4, 'clf__max_depth': 8, 'clf__gamma': 1.1, 'clf__eta': 0.017, 'clf__colsample_bytree': 0.61}",0.5329091902219292,0.5152304842760903,0.5141004765091955,0.520746717002405,0.008612531393268086,4,0.6268155193131202,0.61248627175014,0.5995611738675813,0.6129543216436139,0.011131461103355557,0.5175767830350507,0.5099865014112162,0.513554104151802,0.5137057961993562,0.0031005753917887134,7,0.570349534036152,0.5628603491686857,0.5590973131684147,0.5641023987910841,0.004676903110853058,0.5491777261996865,0.5205834310394933,0.5146480126804438,0.5281363899732079,0.015074496573595799,5,0.6956905708114043,0.6717091039092957,0.6463390276764719,0.6712462341323907,0.02015034141600835,0.5147125,0.5112275,0.5136,0.5131799999999999,0.0014534112173320872,4,0.5795267195764525,0.5691248630879308,0.5630265664557934,0.5705593830400589,0.006812104367525474,0.522401252846591,0.5165163843075946,0.5203626040249442,0.5197600803930432,0.0024399720593436683,3,0.6272572022617671,0.610410572632254,0.5976972830277131,0.611788352640578,0.012107047936207843
1,167.87445521354675,42.27484648997269,7.202142000198364,0.11446263038893457,0.93,0.31622776601683794,0.00039810717055349735,94,8,4,2.1,0.027,0.61,"{'clf__subsample': 0.93, 'clf__reg_lambda': 0.31622776601683794, 'clf__reg_alpha': 0.00039810717055349735, 'clf__n_estimators': 94, 'clf__min_child_weight': 8, 'clf__max_depth': 4, 'clf__gamma': 2.1, 'clf__eta': 0.027, 'clf__colsample_bytree': 0.61}",0.5053663112919426,0.4932757843200412,0.5585252496911387,0.5190557817677076,0.028342246255765043,5,0.5904839263957012,0.5945893783568909,0.5801883504696813,0.5884205517407578,0.006057531800826908,0.5199605510266175,0.5077746595436532,0.5100949357933152,0.5126100487878621,0.005283201859992934,10,0.5356007623587782,0.5297944031411463,0.528569679101939,0.5313216148672878,0.0030668457936995812,0.4915689658592712,0.47958191784665644,0.6171165990809678,0.5294224942622985,0.0622018989258635,4,0.6578990289562772,0.6774419620817043,0.6429800236366184,0.6594403382248667,0.014111178217859791,0.514935,0.5083825,0.51223,0.5118491666666667,0.002688567100809594,5,0.5368085121419579,0.5316942001062934,0.5290498528057388,0.5325175216846634,0.0032205167794348553,0.5217537090803835,0.5130333801384117,0.5191769965234919,0.5179880285807624,0.0036579837607327494,5,0.5573235061723363,0.549224527772805,0.5441735794907554,0.5502405378119656,0.005416293334775147
7,120.84556976954143,31.129587871706885,6.021094083786011,0.13514419600168315,0.94,0.19952623149688797,0.00039810717055349735,62,7,4,4.8,0.031,0.87,"{'clf__subsample': 0.94, 'clf__reg_lambda': 0.19952623149688797, 'clf__reg_alpha': 0.00039810717055349735, 'clf__n_estimators': 62, 'clf__min_child_weight': 7, 'clf__max_depth': 4, 'clf__gamma': 4.8, 'clf__eta': 0.031, 'clf__colsample_bytree': 0.87}",0.5035526817057986,0.4963534304386127,0.5539093335766923,0.5179384819070345,0.025604477890692073,6,0.5910078059647491,0.5933120953704435,0.5808604179592031,0.5883934397647986,0.0054090819035508345,0.5197095161945777,0.5075998030650618,0.5093719709462606,0.5122270967353,0.005340105833734075,12,0.5342995510736139,0.5284865524669424,0.52716331991635,0.529983141152302,0.0030996001948999895,0.4883701323176417,0.4855946046157392,0.606981244343552,0.5269819937589776,0.056579359953232364,6,0.6611829150406359,0.6762644633726967,0.6467373852515005,0.661394921221611,0.012055311293074255,0.5145825,0.50831,0.511185,0.5113591666666667,0.002563697145833648,10,0.5355041085683767,0.5300257247260141,0.5276033222172019,0.5310443851705309,0.003304931473585611,0.5206923247356097,0.5111691078884851,0.5182346298473375,0.5166986874904774,0.00403668626243827,10,0.553976238311934,0.546721274967012,0.5418365264742718,0.5475113465844058,0.004987404852614724
14,123.26893488566081,28.90053805666864,6.130652666091919,0.25528536777529115,0.9,0.251188643150958,0.03162277660168379,61,1,4,4.3,0.022,0.89,"{'clf__subsample': 0.9, 'clf__reg_lambda': 0.251188643150958, 'clf__reg_alpha': 0.03162277660168379, 'clf__n_estimators': 61, 'clf__min_child_weight': 1, 'clf__max_depth': 4, 'clf__gamma': 4.3, 'clf__eta': 0.022, 'clf__colsample_bytree': 0.89}",0.49727844585954345,0.4967058516263337,0.5421860881057063,0.5120567951971945,0.02130590973437735,7,0.5823429956721875,0.5879149442722748,0.5711643708459861,0.5804741035968161,0.0069649118548818665,0.5189664561978659,0.5079099092494358,0.5085856462012897,0.5118206705495304,0.005060358650398377,13,0.534546421832268,0.5273342644110558,0.5273091034080805,0.5297299298838015,0.0034057896085195956,0.4773304370251344,0.4859854292557296,0.5805403189111619,0.5146187283973419,0.04674733000954336,7,0.6395263725291294,0.6642213470585231,0.6229760731653757,0.6422412642510095,0.016947391784113083,0.5134975,0.5086075,0.5098175,0.5106408333333333,0.002079492459445088,14,0.5343733562445292,0.5279753698513691,0.5265293151431646,0.5296260137463542,0.0034083929889820817,0.5196687325195978,0.5111442792279456,0.5159213949195037,0.5155781355556823,0.00348854757012411,14,0.5522350461751384,0.5436524843498988,0.5396246356447322,0.5451707220565898,0.005258922433151676
8,166.62133367856345,38.224267134806105,8.79750887552897,0.134856521776562,0.79,0.7943282347242815,0.015848931924611134,93,7,6,1.2,0.029,0.76,"{'clf__subsample': 0.79, 'clf__reg_lambda': 0.7943282347242815, 'clf__reg_alpha': 0.015848931924611134, 'clf__n_estimators': 93, 'clf__min_child_weight': 7, 'clf__max_depth': 6, 'clf__gamma': 1.2, 'clf__eta': 0.029, 'clf__colsample_bytree': 0.76}",0.5102206486691535,0.5160184653180909,0.5012352948706461,0.5091581362859635,0.006081788746899797,8,0.6071780413623126,0.5989694191184312,0.5877274494684883,0.5979583033164108,0.007972793221485475,0.5205507020522321,0.5101711017306053,0.5135832782447194,0.5147683606758523,0.004319517024360747,2,0.552250355971027,0.5446587745592774,0.5435969091113695,0.5468353465472247,0.0038534516866714588,0.5002926064790018,0.5220014230025354,0.48946713134959724,0.5039203869437116,0.013527518290869348,9,0.674238898237323,0.6653108880326408,0.6396563310715598,0.6597353724471745,0.014658405290173114,0.5158225,0.51144,0.5129625,0.5134083333333334,0.001816709861871773,3,0.5571751787749712,0.5483760772273967,0.5458000068137734,0.5504504209387138,0.004870031530439756,0.5235924978431528,0.5167405956308059,0.5209005588381033,0.520411217437354,0.0028185968420186775,2,0.5924126531090327,0.577382258660357,0.5708808672070079,0.5802252596587992,0.009017259082467564
4,149.40389347076416,34.25919467829649,8.22780712445577,0.1989916486978713,0.87,0.001584893192461114,0.31622776601683794,67,7,7,3.3,0.019,0.94,"{'clf__subsample': 0.87, 'clf__reg_lambda': 0.001584893192461114, 'clf__reg_alpha': 0.31622776601683794, 'clf__n_estimators': 67, 'clf__min_child_weight': 7, 'clf__max_depth': 7, 'clf__gamma': 3.3, 'clf__eta': 0.019, 'clf__colsample_bytree': 0.94}",0.5212916874681798,0.5030424414861264,0.5009802188002122,0.5084381159181728,0.009127756818077365,9,0.6117933041535569,0.6034696327241257,0.5886924340635407,0.6013184569804078,0.009552773333408553,0.5195633110325053,0.5111267408966556,0.5138414307192497,0.5148438275494702,0.003516392893122632,1,0.5558153820153144,0.5491437332346899,0.5479063489196665,0.5509551547232235,0.003473627976996087,0.5230316014997322,0.49520989287396405,0.4887471061487152,0.5023295335074704,0.014874443797582992,10,0.6803094132763675,0.6697243801817037,0.6360391118722696,0.6620243017767802,0.018875615701814775,0.515765,0.5118125,0.5131825,0.5135866666666667,0.0016387143504046897,2,0.5617688600906016,0.5538338615640087,0.5501641728442087,0.5552556314996063,0.004843088810113863,0.5221618389393319,0.5150759961948427,0.52079186465047,0.5193432332615481,0.0030687882001027406,4,0.6000030892763276,0.5864055974497482,0.5774946420348925,0.587967776253656,0.009255191381657145
13,157.09089167912802,35.40783518555359,7.07545002301534,0.20104674357336044,0.92,0.0031622776601683794,0.0012589254117941675,81,3,5,2.1,0.006,0.8,"{'clf__subsample': 0.92, 'clf__reg_lambda': 0.0031622776601683794, 'clf__reg_alpha': 0.0012589254117941675, 'clf__n_estimators': 81, 'clf__min_child_weight': 3, 'clf__max_depth': 5, 'clf__gamma': 2.1, 'clf__eta': 0.006, 'clf__colsample_bytree': 0.8}",0.4761013041033381,0.5002098964256547,0.5445390341313273,0.5069500782201067,0.028343173908517257,10,0.5746356391196511,0.600228587380189,0.576764351746391,0.5838761927487437,0.011595500909079695,0.5203396907731846,0.5081019056922671,0.5088435019485682,0.5124283661380066,0.005602337867011157,11,0.5385589380660265,0.527919175298586,0.5278816404932624,0.5314532512859582,0.00502450267374658,0.4387956515701561,0.4925593001232601,0.5856204967173851,0.5056584828036005,0.06065242632297927,8,0.615892735670044,0.6954903218118158,0.635624202043431,0.6490024198417635,0.0338445117509857,0.5132025,0.5088925,0.510195,0.5107633333333333,0.0018048595667130504,13,0.5371800450483649,0.5303594198020699,0.5278540914196161,0.531797852090017,0.0039408263394580595,0.51917530756585,0.5115881672541794,0.5169781849582983,0.5159138865927759,0.0031875510751865257,12,0.5586560080968137,0.5475052307307747,0.5421397593265274,0.549433666051372,0.00687923277940166
