,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__eta,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
5,33.42397737503052,10.217344672920502,0.7959686915079752,0.030431626297661055,0.01,5,60,"{'clf__eta': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 60}",0.510805,0.51304,0.5146325,0.5128258333333334,0.001569891627540688,1,0.5439741005642329,0.5324933660300472,0.5279645349554892,0.5348106671832564,0.006738148173950356
1,33.077032725016274,10.021892190029282,0.8333484331766764,0.03137007927512649,0.005,5,60,"{'clf__eta': 0.005, 'clf__max_depth': 5, 'clf__n_estimators': 60}",0.511485,0.511885,0.513165,0.5121783333333333,0.0007165348716023658,2,0.5404569140438039,0.5284888239249748,0.5265672053120057,0.5318376477602614,0.006145023350830922
4,23.259745200475056,7.335896023628436,0.6998217105865479,0.028606005925782742,0.01,5,30,"{'clf__eta': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 30}",0.511435,0.511685,0.5130225,0.5120475,0.0006969427283979094,3,0.5404147819580297,0.5287797521975655,0.5262392239832578,0.531811252712951,0.0061713913885020994
0,23.0375022093455,7.230018491529441,0.6866398652394613,0.035612205374383275,0.005,5,30,"{'clf__eta': 0.005, 'clf__max_depth': 5, 'clf__n_estimators': 30}",0.5105725,0.51111,0.5124525,0.5113783333333333,0.0007906124559830537,4,0.5375717088099876,0.527602952368297,0.5248749077776789,0.5300165229853212,0.005457177625600426
3,221.7867861588796,40.159883008176415,1.7900527318318684,0.14516068030765958,0.005,15,60,"{'clf__eta': 0.005, 'clf__max_depth': 15, 'clf__n_estimators': 60}",0.511185,0.5107875,0.5079375,0.50997,0.0014463272451281269,5,0.7250443229542345,0.6742338217706961,0.649922633725954,0.6830669261502949,0.03129786838176312
6,123.24906015396118,22.728710046725457,1.150809605916341,0.08242794552667021,0.01,15,30,"{'clf__eta': 0.01, 'clf__max_depth': 15, 'clf__n_estimators': 30}",0.5106775,0.511075,0.5078825,0.5098783333333333,0.0014205666905225405,6,0.7246617636154048,0.6736398851588328,0.650937438099804,0.6830796956246804,0.03082911566907614
7,232.06358083089194,38.46445175335192,1.7836650212605794,0.11848471286130795,0.01,15,60,"{'clf__eta': 0.01, 'clf__max_depth': 15, 'clf__n_estimators': 60}",0.511605,0.510185,0.5076725,0.5098208333333333,0.0016259565560685302,7,0.7680898323480043,0.7197223195338704,0.6832920426131714,0.7237013981650154,0.03473270395504174
2,122.94293729464214,22.153108254370242,1.1263600985209148,0.06224164619534153,0.005,15,30,"{'clf__eta': 0.005, 'clf__max_depth': 15, 'clf__n_estimators': 30}",0.5107275,0.5109675,0.506855,0.5095166666666667,0.0018846311899738215,8,0.6982769662201789,0.6527776099990739,0.6314810402390747,0.6608452054861091,0.027859630347214
