,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__subsample,param_clf__reg_lambda,param_clf__reg_alpha,param_clf__n_estimators,param_clf__min_child_weight,param_clf__max_depth,param_clf__gamma,param_clf__eta,param_clf__colsample_bytree,params,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,mean_train_f1,std_train_f1,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,mean_train_recall,std_train_recall,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
10,126.08143504460652,31.748001741311576,5.944321076075236,0.14635482504120303,0.65,0.00039810717055349735,0.007943282347242814,78,5,3,1.8,0.02,0.64,"{'clf__subsample': 0.65, 'clf__reg_lambda': 0.00039810717055349735, 'clf__reg_alpha': 0.007943282347242814, 'clf__n_estimators': 78, 'clf__min_child_weight': 5, 'clf__max_depth': 3, 'clf__gamma': 1.8, 'clf__eta': 0.02, 'clf__colsample_bytree': 0.64}",0.5655252363117531,0.5098809690239859,0.5815976371769045,0.5523346141708813,0.030727994913286115,1,0.5960298033078625,0.5991586123523848,0.5899866857203274,0.5950583671268582,0.0038069082579160235,0.5136641233739936,0.5080899547241157,0.5073213228641953,0.5096918003207682,0.002826329959908039,15,0.5276208719638342,0.5227552795503689,0.5207750570938231,0.5237170695360088,0.002876348992614786,0.6290344978079311,0.5116846546212508,0.6813538473846584,0.6073576666046135,0.07094280560897602,1,0.6848205299567586,0.7017182969112649,0.6804146008534342,0.6889844759071525,0.009182073144247228,0.51278,0.509185,0.50985,0.510605,0.0015617351461328758,15,0.5288094490510262,0.5240371926175718,0.5213463792892564,0.5247310069859514,0.0030860315779966023,0.5198340430934251,0.5145312070318868,0.5155112220690012,0.5166254907314377,0.002303795934677317,12,0.5438019201859822,0.5370839720877637,0.5330343233085804,0.5379734051941087,0.004440615878197921
8,140.26004672050476,35.76882455306298,6.088011662165324,0.15084986133348122,0.84,0.001584893192461114,0.7943282347242815,83,5,3,1.5,0.024,0.73,"{'clf__subsample': 0.84, 'clf__reg_lambda': 0.001584893192461114, 'clf__reg_alpha': 0.7943282347242815, 'clf__n_estimators': 83, 'clf__min_child_weight': 5, 'clf__max_depth': 3, 'clf__gamma': 1.5, 'clf__eta': 0.024, 'clf__colsample_bytree': 0.73}",0.5471808735871796,0.509627756721441,0.578229592935602,0.5450127410814075,0.02804851252040036,2,0.5958361216189508,0.5961354404896219,0.5896188135594849,0.5938634585560192,0.003003903716448295,0.5153564322590258,0.5082398552855171,0.5078790951431479,0.5104917942292303,0.003442970068683969,14,0.528039048792554,0.5236653860442942,0.5219348843852256,0.5245464397406913,0.002568708818307355,0.5831944692416037,0.5110232590766517,0.6712034921222243,0.5884737401468266,0.06549976992632131,2,0.6836072225603571,0.691885473354481,0.6774727136095942,0.6843218031748108,0.005905640239458805,0.51343,0.5093225,0.51043,0.5110608333333334,0.001735194913803328,12,0.5292657883817218,0.5247693081077116,0.5226907032763639,0.5255752665885991,0.0027440982538726733,0.5191876745433541,0.5149183153303316,0.516480835357689,0.5168622750771249,0.0017637042868401695,11,0.5447422035511398,0.5382277884290982,0.5349368357706659,0.539302275916968,0.004074489894353274
5,146.79866083463034,38.08744856421748,6.177335421244304,0.08462551536952087,0.94,0.00025118864315095795,0.01,87,3,3,2.2,0.049,0.96,"{'clf__subsample': 0.94, 'clf__reg_lambda': 0.00025118864315095795, 'clf__reg_alpha': 0.01, 'clf__n_estimators': 87, 'clf__min_child_weight': 3, 'clf__max_depth': 3, 'clf__gamma': 2.2, 'clf__eta': 0.049, 'clf__colsample_bytree': 0.96}",0.5349032840871615,0.5271362335901654,0.5573611337942549,0.539800217157194,0.012815904525395405,3,0.5955229955229956,0.5900142199989615,0.5792577565561398,0.588264990692699,0.006754472692798811,0.5161895888490171,0.5082759583178266,0.5100741915528745,0.511513246239906,0.00338718623051134,13,0.5317633376944323,0.5277208587137647,0.5263181151271561,0.5286007705117844,0.0023084332032808335,0.5550248963478744,0.5474501197526781,0.6143115009025316,0.5722621723343614,0.029893743324116463,3,0.6766555678875323,0.6689824141277146,0.6440382643968745,0.6632254154707071,0.013924304815753146,0.51346,0.50995,0.51215,0.5118533333333334,0.0014482249671772564,10,0.53344654317909,0.5286966977851708,0.5264695549991595,0.5295375986544735,0.0029097453175742634,0.5197598143391009,0.5163957431704882,0.5190695892858602,0.5184083822651497,0.0014507790436062047,7,0.5518135480975563,0.5442272366099302,0.5398034730506278,0.5452814192527048,0.00495943218802712
0,135.2651069164276,30.127982844324755,7.740666309992473,0.20095215144170578,0.77,0.00012589254117941674,0.001584893192461114,63,8,7,1.3,0.003,0.6,"{'clf__subsample': 0.77, 'clf__reg_lambda': 0.00012589254117941674, 'clf__reg_alpha': 0.001584893192461114, 'clf__n_estimators': 63, 'clf__min_child_weight': 8, 'clf__max_depth': 7, 'clf__gamma': 1.3, 'clf__eta': 0.003, 'clf__colsample_bytree': 0.6}",0.5016902721170754,0.5443129656325616,0.5485927056592428,0.5315319811362933,0.02117348564541269,4,0.595105922727978,0.6045830699189765,0.5872525011407314,0.5956471645958953,0.007085518593773317,0.5216664971113122,0.5085091662279003,0.5103465191030865,0.513507394147433,0.005817914132423255,8,0.5498876616761013,0.5356026405661297,0.5352490731096932,0.5402464584506413,0.00681888809178966,0.4831875260370172,0.5855404904348175,0.5930357562514688,0.5539212575744344,0.05010981497551905,4,0.6484272751502711,0.6939581548169628,0.6504484005557143,0.6642779435076495,0.021003292511734956,0.5161425,0.5108325,0.51204,0.513005,0.0022726553852266793,3,0.5521352541315367,0.5398366476302255,0.5372308489682439,0.5430675835766686,0.006499463241192131,0.5229172329345569,0.5167291650174156,0.5188983118856504,0.5195149032792076,0.0025636152658235225,3,0.5832154962345478,0.5643309999191956,0.557649231808634,0.5683985759874591,0.010826429096652612
9,122.78560503323872,29.09485676449422,6.979508797327678,0.12189630532278457,0.66,0.00031622776601683794,0.025118864315095794,67,7,5,3.3,0.044,0.62,"{'clf__subsample': 0.66, 'clf__reg_lambda': 0.00031622776601683794, 'clf__reg_alpha': 0.025118864315095794, 'clf__n_estimators': 67, 'clf__min_child_weight': 7, 'clf__max_depth': 5, 'clf__gamma': 3.3, 'clf__eta': 0.044, 'clf__colsample_bytree': 0.62}",0.49297707205178426,0.5167707974615043,0.5522769709066492,0.5206749468066459,0.024365977477228084,5,0.6012820912610201,0.5912345652210003,0.5819266766658229,0.591481111049281,0.007903737814986656,0.5222128528315285,0.5075521110155488,0.5112587969329411,0.5136745869266729,0.006224219823617258,5,0.5445776249259635,0.5375710327882939,0.5358768656889709,0.5393418411344094,0.0037663089335167894,0.4668412386676982,0.5263305574762749,0.6004510157855525,0.5312076039765086,0.05465487061122582,5,0.6711678382044641,0.6568002678454895,0.6366349930094315,0.6548676996864616,0.014164049893609483,0.51593,0.50887,0.51324,0.51268,0.0029093069048600844,5,0.5481887266012513,0.5396086706062823,0.5370152656450102,0.5416042209508479,0.004774810524578117,0.522653670648972,0.5139681315000182,0.5215478517138961,0.519389884620962,0.003860247320025112,4,0.5761708543347211,0.5636705191396416,0.5573136135369011,0.5657183290037545,0.007833433753529843
2,128.45145106315613,29.31161258844253,7.5752904415130615,0.13943129483707825,0.72,0.001584893192461114,0.0031622776601683794,60,4,7,1.1,0.008,0.8,"{'clf__subsample': 0.72, 'clf__reg_lambda': 0.001584893192461114, 'clf__reg_alpha': 0.0031622776601683794, 'clf__n_estimators': 60, 'clf__min_child_weight': 4, 'clf__max_depth': 7, 'clf__gamma': 1.1, 'clf__eta': 0.008, 'clf__colsample_bytree': 0.8}",0.4966763800022814,0.5205055190230155,0.5366511895780728,0.5179443628677899,0.016419825228338708,6,0.6002988558323442,0.6047344796991739,0.5860864282299507,0.597039921253823,0.007954158109232792,0.5203489635391769,0.5085472536928152,0.5120300820170937,0.5136420997496952,0.004951029502510528,6,0.5502111984038737,0.5394547297064297,0.5391964391647387,0.5429541224250141,0.005132610922534976,0.4750639766708326,0.5330397137961098,0.5637597315906057,0.5239544740191827,0.036775357886772546,6,0.6604191280894586,0.6879883782296095,0.6419085410733143,0.6634386824641274,0.018932795700474462,0.51464,0.509995,0.5132625,0.5126324999999999,0.0019479358733455964,7,0.5535981649505144,0.5440840681457125,0.5411052052202441,0.5462624794388237,0.005327764855109163,0.5215276760559714,0.5148548804729133,0.5204650664375697,0.5189492076554848,0.0029274472507331904,5,0.5870323095008452,0.571625306505351,0.5632745912034014,0.5739774024031992,0.009840615191124292
3,159.94066564242044,37.85715684707617,8.492759625116983,0.051427579656961014,0.96,0.12589254117941673,0.00012589254117941674,72,5,7,4.5,0.035,0.97,"{'clf__subsample': 0.96, 'clf__reg_lambda': 0.12589254117941673, 'clf__reg_alpha': 0.00012589254117941674, 'clf__n_estimators': 72, 'clf__min_child_weight': 5, 'clf__max_depth': 7, 'clf__gamma': 4.5, 'clf__eta': 0.035, 'clf__colsample_bytree': 0.97}",0.5276784409257004,0.5204371337332027,0.5033336741998159,0.5171497496195729,0.010206928609767704,7,0.6167848343138733,0.6047469161618111,0.5938025455020666,0.6051114319925837,0.009386019873566832,0.5185479546499158,0.5112427980356521,0.5149528945895474,0.5149145490917051,0.0029824409547252466,1,0.5621871490913615,0.5561752931117838,0.554357436482359,0.5575732928951681,0.0033458334717127274,0.5371362256739868,0.52996823297157,0.49222722795297835,0.5197772288661784,0.019699356039956685,10,0.6831278666873526,0.6626139903870708,0.6392910780041513,0.6616776450261915,0.01790853739589103,0.51528,0.512685,0.51431,0.5140916666666667,0.0010705943313049288,1,0.5691268269979233,0.5609220052485058,0.5573242200044569,0.5624576840836286,0.004939238475314356,0.5215537018349188,0.5169548728472894,0.5232912415660318,0.5205999387494133,0.0026732801514767206,1,0.6111540198197478,0.5985912457186,0.5897424857083171,0.599829250415555,0.008784946972843268
12,148.66968019803366,32.41548645626202,8.203773180643717,0.16795043275194507,0.66,0.0005011872336272725,0.00012589254117941674,83,5,6,3.4,0.006,0.8,"{'clf__subsample': 0.66, 'clf__reg_lambda': 0.0005011872336272725, 'clf__reg_alpha': 0.00012589254117941674, 'clf__n_estimators': 83, 'clf__min_child_weight': 5, 'clf__max_depth': 6, 'clf__gamma': 3.4, 'clf__eta': 0.006, 'clf__colsample_bytree': 0.8}",0.49424160744915463,0.5268540470591644,0.5277729971081662,0.5162895505388284,0.01559476329118763,8,0.595047147278689,0.6017431645359332,0.5850215280616676,0.5939372799587632,0.006871542073181335,0.5209365967314731,0.5083867601013866,0.5121854828085891,0.5138362798804829,0.005254740595557178,4,0.5440564719222605,0.5328160287853186,0.5330354744811666,0.536635991729582,0.005247836622254148,0.47014917970997244,0.5467135656234655,0.5443390518668153,0.5204005990667512,0.035546340078112595,8,0.6565842811054224,0.6911534380124956,0.6482436403482152,0.6653271198220444,0.018576698765137987,0.51496,0.510055,0.5129675,0.5126608333333333,0.0020141647703755825,6,0.546390628486276,0.5362264121091039,0.5345382914518978,0.5390517773490925,0.005234914188957637,0.5215467304184445,0.5147356840422389,0.5199239829744069,0.5187354658116968,0.002904825636677484,6,0.57291602765471,0.5579317136515465,0.5526398571839527,0.5611625328300698,0.008587177132718962
1,164.20044549306235,37.62273947680838,8.7076207002004,0.13236597161745725,0.87,0.005011872336272725,0.0012589254117941675,88,1,6,3.4,0.044,0.85,"{'clf__subsample': 0.87, 'clf__reg_lambda': 0.005011872336272725, 'clf__reg_alpha': 0.0012589254117941675, 'clf__n_estimators': 88, 'clf__min_child_weight': 1, 'clf__max_depth': 6, 'clf__gamma': 3.4, 'clf__eta': 0.044, 'clf__colsample_bytree': 0.85}",0.5274109390773423,0.49864665512154444,0.5225270440158734,0.51619487940492,0.01256763672739362,9,0.6120184561630144,0.5990481159847589,0.5879083988811984,0.5996583236763239,0.009852342550657565,0.5175619094906402,0.5109439160449428,0.5143262589962901,0.5142773615106244,0.0027020057407910413,3,0.5586968197369134,0.5503514772499117,0.5474457903095807,0.5521646957654687,0.004768803961340504,0.5376420877224305,0.48692741684955254,0.5309935847754671,0.5185210297824834,0.02250433930713269,11,0.6765919189749343,0.6571989149987799,0.6348296938605483,0.6562068426114208,0.017063782647124937,0.5143025,0.5114625,0.5148075,0.5135241666666667,0.0014723243151183799,2,0.5645765584947263,0.5540287567485155,0.549563778874063,0.5560563647057682,0.006294404049412292,0.5200357279511431,0.5160409533534284,0.5227746070278989,0.5196170961108234,0.0027648945025352772,2,0.6031564100176438,0.5871799657678619,0.578087986512531,0.5894747874326789,0.010361985624158696
11,125.4293487071991,26.28770295769605,7.142950693766276,0.22050949445928275,0.75,0.07943282347242814,0.0199526231496888,56,7,7,1.3,0.003,0.99,"{'clf__subsample': 0.75, 'clf__reg_lambda': 0.07943282347242814, 'clf__reg_alpha': 0.0199526231496888, 'clf__n_estimators': 56, 'clf__min_child_weight': 7, 'clf__max_depth': 7, 'clf__gamma': 1.3, 'clf__eta': 0.003, 'clf__colsample_bytree': 0.99}",0.4914302778512695,0.5298886261183327,0.5264703815273211,0.5159297618323078,0.01737986642687176,10,0.5935467947217217,0.6095331487955955,0.5716536078670513,0.5915778504614562,0.015526803950251916,0.5207894956000333,0.505884872483038,0.5108165050461347,0.5124969577097355,0.006199725178364448,12,0.5457524846979982,0.5345532999104706,0.5336454240252428,0.5379837362112373,0.005505824155301834,0.4652046261580273,0.5562837587309223,0.5431140089903147,0.521534131293088,0.04019220852045985,7,0.6505157550948966,0.7089790660590962,0.6154911439924698,0.6583286550488209,0.03856405016204794,0.5146325,0.5075125,0.5115175,0.5112208333333333,0.0029142876011509643,11,0.5477778192835674,0.539531719371071,0.5331515210073662,0.5401536865540016,0.005987335673379466,0.5192729086215708,0.5126015718284579,0.5168571857706501,0.5162438887402263,0.0027578715932678488,13,0.5764149621358807,0.5629992058666164,0.5511988637777854,0.5635376772600942,0.010301468105161197
