,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__eta,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
2,33.42741322517395,10.372997960407574,0.8199671904246012,0.02942805085747016,0.01,5,60,"{'clf__eta': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 60}",0.510805,0.51304,0.5146325,0.5128258333333334,0.001569891627540688,1,0.5439741005642329,0.5324933660300472,0.5279645349554892,0.5348106671832564,0.006738148173950356
1,47.43793495496114,14.002665073725288,0.9456361929575602,0.017080587277638372,0.005,5,100,"{'clf__eta': 0.005, 'clf__max_depth': 5, 'clf__n_estimators': 100}",0.510995,0.512915,0.514185,0.5126983333333333,0.0013112928310979662,2,0.5429595599387905,0.5311856988117241,0.5272568990908386,0.533800719280451,0.006671938172442666
3,49.017735640207924,16.280679567292065,0.9852375984191895,0.05579652555347568,0.01,5,100,"{'clf__eta': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 100}",0.5087475,0.5137375,0.5147675,0.5124175000000001,0.002628928805933446,3,0.5486120005662553,0.5351056804500227,0.531452476438453,0.5383900524849103,0.007380272886590807
0,33.32944838205973,10.060505378771722,0.8122656345367432,0.018969284442260478,0.005,5,60,"{'clf__eta': 0.005, 'clf__max_depth': 5, 'clf__n_estimators': 60}",0.511485,0.511885,0.513165,0.5121783333333333,0.0007165348716023658,4,0.5404569140438039,0.5284888239249748,0.5265672053120057,0.5318376477602614,0.006145023350830922
5,41.66596285502116,12.181965972770493,0.9554118315378824,0.01353302126632571,0.5,5,100,"{'clf__eta': 0.5, 'clf__max_depth': 5, 'clf__n_estimators': 100}",0.510275,0.5092075,0.5074225,0.5089683333333334,0.001176743977630192,5,0.6408576744436879,0.6021631372738511,0.5902659160654872,0.6110955759276754,0.021598192041276852
4,30.322772185007732,9.142304366114116,0.8180692990620931,0.017889577434224323,0.5,5,60,"{'clf__eta': 0.5, 'clf__max_depth': 5, 'clf__n_estimators': 60}",0.50958,0.50732,0.50756,0.5081533333333333,0.001013552607854629,6,0.614523435551391,0.5851473566800756,0.5756545990589735,0.5917751304301467,0.016545737643074317
