,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__k,param_reduce_dim,param_clf__n_estimators,param_clf__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,1914.3813403447468,662.4447413509515,5.753512859344482,0.07478501804226664,30,SelectKBest(k=30),50,0.005,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=30), 'clf__n_estimators': 50, 'clf__learning_rate': 0.005}",0.6091258735667109,0.6122632018620415,0.6076503951057863,0.609679823511513,0.0019234763578216088,1,0.6172004867396051,0.6201986950370899,0.6181654146287631,0.6185215321351527,0.0012496474189531755
2,1260.46972544988,398.4914413356829,4.890094757080078,0.7835473506136416,20,SelectKBest(k=30),50,0.009,"{'reduce_dim__k': 20, 'reduce_dim': SelectKBest(k=30), 'clf__n_estimators': 50, 'clf__learning_rate': 0.009}",0.6007951562177083,0.6014278039170996,0.6055078956120351,0.6025769519156143,0.00208852164486075,2,0.6070063471891518,0.6098116294618291,0.6145534846420226,0.6104571537643345,0.0031147334987095595
1,8515.994426250458,2439.498661095502,20.598604440689087,3.9303991820382733,30,SelectKBest(k=30),250,0.005,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=30), 'clf__n_estimators': 250, 'clf__learning_rate': 0.005}",0.5900461603021402,0.6022705532285574,0.5990948492807903,0.5971371876038293,0.00517901374368653,3,0.6021033980817602,0.6097859906945309,0.6084203828597242,0.6067699238786717,0.003346497517261127
