,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__n_components,param_reduce_dim,param_clf__n_estimators,param_clf__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
2,4321.1412306626635,1102.580075901092,9.483434120814005,1.2384668496085924,0.93,PCA(n_components=0.93),100,0.009,"{'reduce_dim__n_components': 0.93, 'reduce_dim': PCA(n_components=0.93), 'clf__n_estimators': 100, 'clf__learning_rate': 0.009}",0.6152869421987928,0.5785311763468699,0.556695677129718,0.5835045985584603,0.024176921253814206,1,0.6108798060947244,0.5915296395088406,0.5770754012072559,0.5931616156036069,0.013848753419938624
0,5682.124432484309,1934.87677474453,12.012786865234375,0.18537658116804648,0.95,PCA(n_components=0.93),100,0.005,"{'reduce_dim__n_components': 0.95, 'reduce_dim': PCA(n_components=0.93), 'clf__n_estimators': 100, 'clf__learning_rate': 0.005}",0.593926880937407,0.5838255027820749,0.5472858630564956,0.5750127489253258,0.020034879754178832,2,0.6076545147932899,0.5940032116160019,0.5725167185054987,0.5913914816382635,0.014463333688976916
1,2902.9371457894645,991.3125261128707,6.748968919118245,0.20279795633284065,0.95,PCA(n_components=0.93),50,0.005,"{'reduce_dim__n_components': 0.95, 'reduce_dim': PCA(n_components=0.93), 'clf__n_estimators': 50, 'clf__learning_rate': 0.005}",0.6034161403169773,0.5799255705433265,0.5396151976630597,0.5743189695077878,0.026346607020777207,3,0.616323398491477,0.5904218124936333,0.5647012249414836,0.5904821453088647,0.02107470728215627
