,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__k,param_reduce_dim,param_clf__n_estimators,param_clf__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1,1327.943910042445,442.0434151597468,5.6499513785044355,0.14840411648199586,20,SelectKBest(k=20),50,0.001,"{'reduce_dim__k': 20, 'reduce_dim': SelectKBest(k=20), 'clf__n_estimators': 50, 'clf__learning_rate': 0.001}",0.6079170006770618,0.6091949661165558,0.6339161953613176,0.6170093873849783,0.011966297558218549,1,0.6126662370058388,0.6171045025370929,0.640162455162952,0.6233110649019612,0.012052705519996761
2,1266.7089908123016,367.62469665400437,5.08367657661438,0.8694653367736309,20,SelectKBest(k=20),50,0.005,"{'reduce_dim__k': 20, 'reduce_dim': SelectKBest(k=20), 'clf__n_estimators': 50, 'clf__learning_rate': 0.005}",0.6006823844180709,0.6096004821594998,0.6110609476352586,0.6071146047376098,0.004587180218157827,2,0.6066901874004023,0.6175075947854087,0.6187209632532515,0.6143062484796875,0.005408102287755631
0,3772.745433251063,1217.8818718667053,9.75502077738444,1.732038207399069,30,SelectKBest(k=20),100,0.009,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=20), 'clf__n_estimators': 100, 'clf__learning_rate': 0.009}",0.6024860037459213,0.6053358869305923,0.6031630224257363,0.6036616377007499,0.0012157086920599775,3,0.6107731331873936,0.6129924725580727,0.6121625861152818,0.6119760639535827,0.0009155907740052338
