,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__k,param_reduce_dim,param_clf__n_estimators,param_clf__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,param_reduce_dim__n_components
21,0,1882.0453821023307,682.3719935161834,5.673133770624798,0.018449647825580714,30.0,SelectKBest(k=30),50,0.001,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=30), 'clf__n_estimators': 50, 'clf__learning_rate': 0.001}",0.6186637428155592,0.6134210698022964,0.6345634330291391,0.6222160818823316,0.008989409151437559,1,0.6255743253997729,0.6215914932634343,0.6408912090866035,0.6293523425832702,0.008319648153332457,
0,1,5969.251550753911,1935.5840100683965,10.592006444931028,1.6575033293892465,50.0,SelectKBest(k=50),100,0.001,"{'reduce_dim__k': 50, 'reduce_dim': SelectKBest(k=50), 'clf__n_estimators': 100, 'clf__learning_rate': 0.001}",0.610916190988514,0.6095428538357609,0.6336297173005252,0.6180295873749334,0.011045196663566542,1,,,,,,
15,1,1327.9439100424452,442.04341515974676,5.649951378504436,0.14840411648199586,20.0,SelectKBest(k=20),50,0.001,"{'reduce_dim__k': 20, 'reduce_dim': SelectKBest(k=20), 'clf__n_estimators': 50, 'clf__learning_rate': 0.001}",0.6079170006770618,0.6091949661165558,0.6339161953613176,0.6170093873849783,0.011966297558218549,1,0.6126662370058388,0.6171045025370929,0.640162455162952,0.6233110649019612,0.01205270551999676,
18,0,1914.3813403447466,662.4447413509515,5.753512859344482,0.07478501804226664,30.0,SelectKBest(k=30),50,0.005,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=30), 'clf__n_estimators': 50, 'clf__learning_rate': 0.005}",0.6091258735667109,0.6122632018620415,0.6076503951057863,0.609679823511513,0.0019234763578216086,1,0.6172004867396051,0.6201986950370899,0.6181654146287631,0.6185215321351527,0.0012496474189531755,
1,0,9344.041069587072,3140.330975107061,22.821469624837235,3.924411155947003,30.0,SelectKBest(k=50),250,0.001,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=50), 'clf__n_estimators': 250, 'clf__learning_rate': 0.001}",0.6091246559213511,0.6122589094372569,0.6076503951057863,0.6096779868214648,0.0019216715639615923,2,,,,,,
6,1,3384.127958297729,1045.6546293584063,5.850143909454347,0.8717602251663675,50.0,SelectKBest(k=50),50,0.005,"{'reduce_dim__k': 50, 'reduce_dim': SelectKBest(k=50), 'clf__n_estimators': 50, 'clf__learning_rate': 0.005}",0.6120740378272043,0.6089639012843274,0.6075403220184016,0.609526087043311,0.0018930899572656122,1,0.6230446625216177,0.6177054138133626,0.6181385755536906,0.6196295506295569,0.002421314959519866,
3,0,1094.4133710066478,400.0874072356572,4.991352160771688,0.21881536297147533,20.0,SelectKBest(k=20),50,0.005,"{'reduce_dim__k': 20, 'reduce_dim': SelectKBest(k=20), 'clf__n_estimators': 50, 'clf__learning_rate': 0.005}",0.6006823844180709,0.6096004821594998,0.6110609476352586,0.6071146047376098,0.0045871802181578275,1,0.6066901874004023,0.6175075947854087,0.6187209632532515,0.6143062484796875,0.0054081022877556315,
16,2,1266.7089908123014,367.62469665400437,5.08367657661438,0.8694653367736309,20.0,SelectKBest(k=20),50,0.005,"{'reduce_dim__k': 20, 'reduce_dim': SelectKBest(k=20), 'clf__n_estimators': 50, 'clf__learning_rate': 0.005}",0.6006823844180709,0.6096004821594998,0.6110609476352586,0.6071146047376098,0.0045871802181578275,2,0.6066901874004023,0.6175075947854087,0.6187209632532515,0.6143062484796875,0.0054081022877556315,
12,0,2069.546733458837,724.3752500680166,6.269942363103231,0.2064873308448817,30.0,SelectKBest(k=30),50,0.009000000000000001,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=30), 'clf__n_estimators': 50, 'clf__learning_rate': 0.009}",0.6038357143292169,0.6120198398043024,0.6043630227793177,0.6067395256376124,0.003739946686304297,1,0.6116302086712375,0.6200719048398102,0.6136552771905049,0.6151191302338509,0.0035983985187866283,
22,1,1943.9481328328447,709.9560642926865,5.7986693382263175,0.12765014696789076,30.0,SelectKBest(k=30),50,0.009000000000000001,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=30), 'clf__n_estimators': 50, 'clf__learning_rate': 0.009}",0.6038357143292169,0.6120198398043024,0.6043630227793177,0.6067395256376124,0.003739946686304297,2,0.6116302086712375,0.6200719048398102,0.6136552771905049,0.6151191302338509,0.0035983985187866283,
7,0,2178.424991051356,756.471589216064,5.877486546834309,0.10604832755854628,30.0,SelectKBest(k=50),50,0.009000000000000001,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=50), 'clf__n_estimators': 50, 'clf__learning_rate': 0.009}",0.6038357143292169,0.6120198398043024,0.6043630227793177,0.6067395256376124,0.003739946686304297,2,0.6116302086712375,0.6200719048398102,0.6136552771905049,0.6151191302338509,0.0035983985187866283,
17,0,3772.7454332510633,1217.8818718667053,9.75502077738444,1.732038207399069,30.0,SelectKBest(k=20),100,0.009000000000000001,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=20), 'clf__n_estimators': 100, 'clf__learning_rate': 0.009}",0.6024860037459213,0.6053358869305923,0.6031630224257363,0.6036616377007499,0.0012157086920599775,3,0.6107731331873936,0.6129924725580727,0.6121625861152818,0.6119760639535827,0.0009155907740052338,
19,2,1260.4697254498801,398.4914413356829,4.890094757080078,0.7835473506136416,20.0,SelectKBest(k=30),50,0.009000000000000001,"{'reduce_dim__k': 20, 'reduce_dim': SelectKBest(k=30), 'clf__n_estimators': 50, 'clf__learning_rate': 0.009}",0.6007951562177083,0.6014278039170996,0.6055078956120351,0.6025769519156143,0.00208852164486075,2,0.6070063471891518,0.6098116294618291,0.6145534846420226,0.6104571537643345,0.0031147334987095595,
4,1,5306.4589408238735,1785.2823566825268,10.097531000773113,1.8522530398336032,50.0,SelectKBest(k=20),100,0.009000000000000001,"{'reduce_dim__k': 50, 'reduce_dim': SelectKBest(k=20), 'clf__n_estimators': 100, 'clf__learning_rate': 0.009}",0.6028408432699167,0.5985112663705121,0.5984460295360545,0.5999327130588278,0.0020565310524649333,2,0.6163485525323432,0.6099410987095848,0.6080630718066936,0.6114509076828738,0.003547011894129664,
