,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__k,param_reduce_dim,param_clf__n_estimators,param_clf__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1,3384.1279582977295,1045.6546293584063,5.850143909454346,0.8717602251663675,50,SelectKBest(k=50),50,0.005,"{'reduce_dim__k': 50, 'reduce_dim': SelectKBest(k=50), 'clf__n_estimators': 50, 'clf__learning_rate': 0.005}",0.6120740378272043,0.6089639012843274,0.6075403220184016,0.609526087043311,0.0018930899572656122,1,0.6230446625216177,0.6177054138133626,0.6181385755536906,0.6196295506295569,0.002421314959519866
0,2178.424991051356,756.471589216064,5.87748654683431,0.10604832755854629,30,SelectKBest(k=50),50,0.009,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=50), 'clf__n_estimators': 50, 'clf__learning_rate': 0.009}",0.6038357143292169,0.6120198398043024,0.6043630227793177,0.6067395256376124,0.003739946686304297,2,0.6116302086712375,0.6200719048398102,0.6136552771905049,0.6151191302338509,0.003598398518786628
2,5988.808031082153,1304.6156095421106,19.504950841267902,3.8849481951171296,20,SelectKBest(k=50),250,0.005,"{'reduce_dim__k': 20, 'reduce_dim': SelectKBest(k=50), 'clf__n_estimators': 250, 'clf__learning_rate': 0.005}",0.5960914957569019,0.5991440623424324,0.596249951336654,0.5971618364786627,0.0014031373356248622,3,0.6028685753649503,0.6060137666941736,0.605694576492709,0.604858972850611,0.0014134431268763416
