,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_features,param_miss_value__strategy,param_reduce_dim,param_reduce_dim__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,22.84455168247223,7.125349657832216,1.273279333114624,0.02858521008714859,0.33,constant,SelectKBest(k=20),20,"{'clf__max_features': 0.33, 'miss_value__strategy': 'constant', 'reduce_dim': SelectKBest(k=20), 'reduce_dim__k': 20}",0.5087751757678279,0.5070899836538334,0.527502858720082,0.4913226734461764,0.500568722270632,0.5229653290743329,0.4713311085869098,0.48771585955189073,0.49715267715739464,0.4899281176863925,0.5004352505915473,0.016022377063716495,2,0.5238696383030387,0.5239645932545427,0.5241631243358129,0.5234725079177828,0.5182189483005306,0.5158936897585431,0.5015772515406514,0.5172417809324621,0.5082999600510222,0.502496966712972,0.5159198461107357,0.008389826752530498
1,26.082010912895203,8.732047130307068,1.4954669713973998,0.07644748045830695,0.33,constant,SelectKBest(k=20),30,"{'clf__max_features': 0.33, 'miss_value__strategy': 'constant', 'reduce_dim': SelectKBest(k=20), 'reduce_dim__k': 30}",0.4946179238513112,0.4672392638036809,0.5047620358391367,0.45289820700123323,0.4804718345783747,0.46405914972273565,0.4419550269466642,0.4322087119693106,0.4521526339453531,0.45065056807529336,0.4641015355733093,0.021952675120703084,8,0.5201738824262286,0.5003613792427032,0.5088716458162247,0.49336289038320114,0.5050904496965625,0.4691910311897257,0.4748451027130275,0.47121958525808577,0.46068399215199624,0.47001160101872264,0.48738115598964776,0.019541648147347414
2,30.545769929885864,10.181096468336133,1.7104141235351562,0.02984194926389521,0.33,constant,SelectKBest(k=20),40,"{'clf__max_features': 0.33, 'miss_value__strategy': 'constant', 'reduce_dim': SelectKBest(k=20), 'reduce_dim__k': 40}",0.4830484100650284,0.4340947950522959,0.4777946823154387,0.4257180257180257,0.4587129260412725,0.4613852260395142,0.4252440735940364,0.41705422733256997,0.43732691696554227,0.41369309897293743,0.44340723820966615,0.023780880742501242,15,0.5094740335158454,0.47434305928520826,0.4867000500648591,0.46837878758486007,0.48774934729155683,0.4658269004757985,0.45672656245204674,0.4540851174960952,0.4465264870773101,0.4343146214497142,0.4684124966693295,0.021023210005031125
3,33.06548008918762,10.204700057074703,2.0339882135391236,0.44019979093652495,0.33,constant,SelectKBest(k=20),50,"{'clf__max_features': 0.33, 'miss_value__strategy': 'constant', 'reduce_dim': SelectKBest(k=20), 'reduce_dim__k': 50}",0.44779448640313774,0.45609033773254654,0.4816692444291688,0.45679335573300756,0.44641992235527306,0.4693792467872529,0.429726619363001,0.41555458324217887,0.45506838058343607,0.41815819055895276,0.44766543671879544,0.020154412772113314,13,0.4810541063407622,0.4936162852549636,0.4917671061464297,0.4953219921230054,0.4759624797536621,0.47455255725201945,0.4573987797510518,0.45097448667122003,0.466358112434841,0.43954386398254497,0.47265497697105,0.018006445462164174
4,23.723440194129942,7.930703909378402,1.2687226772308349,0.016749604138692507,0.33,mean,SelectKBest(k=20),20,"{'clf__max_features': 0.33, 'miss_value__strategy': 'mean', 'reduce_dim': SelectKBest(k=20), 'reduce_dim__k': 20}",0.5092034662319578,0.5078094455525589,0.5263255029133381,0.4917550452703515,0.5007614905262597,0.5225538375484438,0.4842203972998504,0.4869750995544558,0.5050506390401465,0.4772618580249117,0.5011916781962275,0.015371834788303129,1,0.5247975783065559,0.5228846376915046,0.5223702975915061,0.5224656945296334,0.5183443379059871,0.5155324178057284,0.511809238303823,0.5160693754685222,0.5160686612933643,0.4923437003927956,0.516268593928942,0.008884633733171861
5,26.97223069667816,8.197212062091966,1.4649701118469238,0.04187837323985351,0.33,mean,SelectKBest(k=20),30,"{'clf__max_features': 0.33, 'miss_value__strategy': 'mean', 'reduce_dim': SelectKBest(k=20), 'reduce_dim__k': 30}",0.4880041049536806,0.47806636276900244,0.49950370313812326,0.4568394437420986,0.4909294880564752,0.46360292212838716,0.434497142555963,0.4524863127045804,0.4717266232983123,0.435022970312319,0.4670679073658942,0.021492866514256706,7,0.5154140343299536,0.5085149288459659,0.5056310082167357,0.4988089620481491,0.5127507435297095,0.46841189923262583,0.4684273436926138,0.4898954998660255,0.48132403150392594,0.45566755261711755,0.49048460038828223,0.020028169674097006
6,31.035779929161073,9.692000342657765,1.6788340568542481,0.03767886480930487,0.33,mean,SelectKBest(k=20),40,"{'clf__max_features': 0.33, 'miss_value__strategy': 'mean', 'reduce_dim': SelectKBest(k=20), 'reduce_dim__k': 40}",0.4544379048238738,0.41623753263137847,0.4652789613700193,0.4212893786577014,0.4533311781820319,0.4474851172397036,0.42132183641617604,0.41637890043418274,0.43953240911938063,0.4273123258643017,0.43626055447387496,0.01710017487998915,16,0.48786087868368855,0.4575536080222323,0.47597208104061955,0.46329586548127255,0.48360787894557883,0.4548393419882089,0.4516235981642693,0.4533645233183665,0.44745203377720194,0.4466884934221307,0.46222583028435693,0.014252880248771815
7,34.26230578422546,10.440644209910133,1.8890131711959839,0.027063978849118462,0.33,mean,SelectKBest(k=20),50,"{'clf__max_features': 0.33, 'miss_value__strategy': 'mean', 'reduce_dim': SelectKBest(k=20), 'reduce_dim__k': 50}",0.46299600212637354,0.44471577804911133,0.49636399097266726,0.4411413643222305,0.45221276784002595,0.46045728109949324,0.43258473773906453,0.42033179609396765,0.4473713584105369,0.4225147123963804,0.4480689789049852,0.021089621325619732,12,0.49354575384540866,0.4849006705460712,0.5052660496425726,0.4805907032108026,0.4810112376663425,0.4669354214076798,0.4619058808277561,0.45648472634029663,0.4578690961625739,0.44286767607251876,0.47313772157220224,0.01815482031279625
8,30.26238098144531,9.34482664353208,1.7034315824508668,0.05744435763287734,0.66,constant,SelectKBest(k=20),20,"{'clf__max_features': 0.66, 'miss_value__strategy': 'constant', 'reduce_dim': SelectKBest(k=20), 'reduce_dim__k': 20}",0.5084916075548533,0.5065249169435216,0.5222749759288158,0.4837472074531293,0.5002064052200546,0.5187928062090384,0.4605922289684078,0.4847192125588441,0.4831666158663305,0.4684615384615385,0.4936977515164534,0.019737149812303192,3,0.5240253634221035,0.5222024112752589,0.5192813779242041,0.5170047136962326,0.5179325631560716,0.5121606506139887,0.49338419335960215,0.5150309320275309,0.49374237021460393,0.48461423645457286,0.5099378812144169,0.01326091194622892
9,36.60618252754212,11.053692122181706,2.0551528692245484,0.03939485887329997,0.66,constant,SelectKBest(k=20),30,"{'clf__max_features': 0.66, 'miss_value__strategy': 'constant', 'reduce_dim': SelectKBest(k=20), 'reduce_dim__k': 30}",0.47052826558304495,0.4706211567852248,0.48648069742037287,0.43685133477334814,0.4765916814109584,0.4732661857910744,0.4278474259802614,0.42615049156497453,0.45094265891009905,0.42746480524657826,0.45467447034659375,0.022245349771426087,9,0.5001252557892101,0.5022045398743022,0.4922189898351887,0.4792013160421626,0.5018470128282317,0.4765216029102682,0.4611856418307376,0.4660769898825626,0.46089060130297066,0.44882556462978845,0.47890975149254233,0.018467156633556994
