,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_features,param_miss_value__strategy,param_reduce_dim,param_reduce_dim__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,20.50690891742706,6.220159906342846,1.045962405204773,0.04661031350155108,0.33,constant,PCA(n_components=0.91),0.91,"{'clf__max_features': 0.33, 'miss_value__strategy': 'constant', 'reduce_dim': PCA(n_components=0.91), 'reduce_dim__n_components': 0.91}",0.4197097801722443,0.4206604865831279,0.5468912533995063,0.45300944109321045,0.40292297415839756,0.39832075811388074,0.37496745365820877,0.37341863200561887,0.410437043158714,0.3707972938254689,0.41711351161683774,0.04957816108111327,1,0.525878616363922,0.5243252001482662,0.5593477743813812,0.48949766034798453,0.4491599605165358,0.41364776798954733,0.3907128528453284,0.4081913943026268,0.40121340960934415,0.4168681439901381,0.4578842780495075,0.058515082996666204
1,21.751884984970093,7.385277532198116,1.2275308847427369,0.19277728787119583,0.33,constant,PCA(n_components=0.91),0.93,"{'clf__max_features': 0.33, 'miss_value__strategy': 'constant', 'reduce_dim': PCA(n_components=0.91), 'reduce_dim__n_components': 0.93}",0.3195988861994285,0.3076650238948626,0.4256633264007058,0.3168464592679938,0.3479767268909401,0.3473392823977854,0.3398290537475652,0.3361830503012344,0.3363049048976793,0.3140405500574521,0.3391447264055647,0.031856508703935034,10,0.4014172078242505,0.41518855169274843,0.4299184340045745,0.369481997572417,0.3973586569192903,0.36623897436604763,0.35864144712389345,0.37605175937397417,0.3183563864894098,0.3467720065464462,0.3779425421913052,0.03181757042978812
2,21.87479293346405,6.840750249817335,1.2164702653884887,0.07802825426342526,0.33,constant,PCA(n_components=0.91),0.95,"{'clf__max_features': 0.33, 'miss_value__strategy': 'constant', 'reduce_dim': PCA(n_components=0.91), 'reduce_dim__n_components': 0.95}",0.3522820062891989,0.346871220881478,0.4208319156848626,0.4632515088207986,0.45211665517318084,0.36221316934360864,0.3439125358242225,0.29153718567098164,0.35709290534634075,0.3076418436392945,0.36977509466739666,0.05461132759352321,5,0.4522968197879858,0.43377632653061227,0.43026464570320916,0.5090938282211419,0.4984023976036351,0.3893817429915479,0.3606358405679414,0.33853875520057713,0.3413965467297995,0.35637591311304334,0.41101628164494936,0.059949855466512825
3,23.569224858283995,7.374194993825916,1.4596546411514282,0.08273157458769881,0.33,constant,PCA(n_components=0.91),0.97,"{'clf__max_features': 0.33, 'miss_value__strategy': 'constant', 'reduce_dim': PCA(n_components=0.91), 'reduce_dim__n_components': 0.97}",0.4178545874841763,0.32483287491575435,0.5048757449526695,0.4378817197798876,0.3985216575550739,0.34316640259208486,0.34684463465113835,0.2952385464537831,0.3981337480559876,0.3089854585189543,0.37763353749595097,0.0622254538541824,4,0.4902172690368485,0.4182230433771213,0.5121473865504554,0.46388583526729366,0.45506928351381276,0.3799946023734328,0.3635844211292986,0.3386036078249371,0.3811339935831232,0.3568554265688246,0.41597148692251473,0.0577274812782715
4,21.667273831367492,7.296877943414974,1.073630166053772,0.05115790469104913,0.33,mean,PCA(n_components=0.91),0.91,"{'clf__max_features': 0.33, 'miss_value__strategy': 'mean', 'reduce_dim': PCA(n_components=0.91), 'reduce_dim__n_components': 0.91}",0.3979732468585326,0.340769814013648,0.5672148998163249,0.4261335480673935,0.38936628164894926,0.36713927842772653,0.4027237823871731,0.35405440696409146,0.42246584795871955,0.36696915638977223,0.4034810262532331,0.06077993314403466,2,0.480218581451579,0.4561325304542513,0.5581752734198503,0.46295748469236825,0.4361586368957473,0.40833579352208704,0.4200000576378843,0.39261396486010264,0.4101590509193925,0.41208638725031027,0.44368377611035725,0.04644028014740238
5,20.87729058265686,6.5490838835967295,1.1649033784866334,0.07546555403032486,0.33,mean,PCA(n_components=0.91),0.93,"{'clf__max_features': 0.33, 'miss_value__strategy': 'mean', 'reduce_dim': PCA(n_components=0.91), 'reduce_dim__n_components': 0.93}",0.37838875534188043,0.3312225835217395,0.4416249083353704,0.3255056455795249,0.29029518345160804,0.2982933605488462,0.3738316185865106,0.29861537154668755,0.38496788868076,0.2934992899825593,0.34162446055754875,0.0482843293991861,9,0.4321373491932368,0.45550975348797934,0.4322025289324654,0.3712796234879539,0.35163963328631875,0.322150601047059,0.3971990833580584,0.3398378851824145,0.3644700296058764,0.34194979770067846,0.38083762852820413,0.043546324759327355
6,22.521444725990296,7.287171103094762,1.2522510290145874,0.06192955466333266,0.33,mean,PCA(n_components=0.91),0.95,"{'clf__max_features': 0.33, 'miss_value__strategy': 'mean', 'reduce_dim': PCA(n_components=0.91), 'reduce_dim__n_components': 0.95}",0.33173519039328603,0.3285215261080615,0.49013139344724527,0.43832144483229624,0.3152262395843814,0.31027491536773183,0.34424983651755886,0.2732961767869365,0.3733607917556655,0.32467425893337465,0.3529791773726538,0.06167221057278116,7,0.4646605413888033,0.44004221723249487,0.4866328914609396,0.4633500430870729,0.37139031444922543,0.3441628129676343,0.35788415201016943,0.3159929110403102,0.35809789341588777,0.37222444933732834,0.3974438226389866,0.057036846993659365
7,23.461763644218443,7.219037895727853,1.4199520111083985,0.06046090877734021,0.33,mean,PCA(n_components=0.91),0.97,"{'clf__max_features': 0.33, 'miss_value__strategy': 'mean', 'reduce_dim': PCA(n_components=0.91), 'reduce_dim__n_components': 0.97}",0.5388119247321962,0.39649297696575503,0.5952394132300027,0.3124948019184386,0.410590147041338,0.42243553369901016,0.3690883409063835,0.310148593107809,0.34374664519592063,0.2954204987200152,0.3994468875516869,0.0942333279069197,3,0.563410961345798,0.48738502377424103,0.5896123473454489,0.37456477019333007,0.47221642764015653,0.44172414137817806,0.3858637787850211,0.3560252477300942,0.335528895324594,0.35090450160468484,0.43572360951215466,0.08592667476774885
8,25.032409167289735,6.49812183238397,1.489733338356018,0.18297298628181224,0.66,constant,PCA(n_components=0.91),0.91,"{'clf__max_features': 0.66, 'miss_value__strategy': 'constant', 'reduce_dim': PCA(n_components=0.91), 'reduce_dim__n_components': 0.91}",0.32479625360753633,0.2964229727803904,0.43247167940540415,0.35998963909514764,0.32091659327988964,0.34271140795962224,0.35668899935163173,0.32468135047353913,0.3791445160963159,0.33726049146609893,0.3475083903515576,0.0359742394324403,8,0.43083511100576755,0.4192345378902674,0.42020298889155283,0.4083158805896671,0.3877634422246523,0.36668113382234047,0.36621790823514294,0.3669399932140605,0.36673671188369095,0.381508242755641,0.39144359505127835,0.024512100841832266
9,26.291804027557372,8.276878443964339,1.5911804676055907,0.07316372661921616,0.66,constant,PCA(n_components=0.91),0.93,"{'clf__max_features': 0.66, 'miss_value__strategy': 'constant', 'reduce_dim': PCA(n_components=0.91), 'reduce_dim__n_components': 0.93}",0.2719166026470102,0.2501282941407311,0.4347201519914119,0.29610070035964414,0.25886227603956097,0.29369379646000876,0.3010894064613073,0.28614825567422586,0.33175079581628014,0.2750691140699639,0.2999479393660144,0.049995361095444495,21,0.35589393615763065,0.391661448214592,0.43016018773594533,0.34543914877612086,0.32566350096800256,0.32057282975360707,0.3191686217217133,0.3282911893055981,0.31399101166149007,0.31936910919163014,0.345021098348633,0.03617173729723509
