,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,5.388243993123372,0.3832587824853688,0.1047211488087972,0.004308555409997652,10,100,"{'classifier__max_depth': 10, 'classifier__n_estimators': 100}",0.4435548438751001,0.5220249835634452,0.5853350189633375,0.5169716154672942,0.057991705779644104,192,0.7531668217276176,0.7599643448363682,0.7545219638242894,0.7558843767960917,0.0029375394389183473
1,7.347164630889893,0.5139731660114539,0.12657499313354492,0.019951409626893662,10,150,"{'classifier__max_depth': 10, 'classifier__n_estimators': 150}",0.4554931836407378,0.5408099688473519,0.5948717948717949,0.5303916491199615,0.05737598427118634,123,0.7640720260881894,0.7721583006701227,0.7601923957856161,0.7654742408479761,0.00498466813343257
2,9.510345220565796,0.6929355326503482,0.15291500091552734,0.009165197391795195,10,200,"{'classifier__max_depth': 10, 'classifier__n_estimators': 200}",0.4533120510774142,0.5644471594379963,0.586599241466498,0.5347861506606362,0.058316380555963554,80,0.7710230883287439,0.7700630051549673,0.7576563041719636,0.766247465885225,0.0060875000130156095
3,11.279035329818726,0.7435645925925919,0.1957541306813558,0.009896955137986179,10,250,"{'classifier__max_depth': 10, 'classifier__n_estimators': 250}",0.44758735440931785,0.5624607658505962,0.5730061349693252,0.5276847517430797,0.05680079809999419,146,0.7756477775437118,0.7743602672381191,0.7586922677737414,0.7695667708518575,0.007707378871087027
4,13.88726576169332,1.3445785882082415,0.26443052291870117,0.022861719518934,10,300,"{'classifier__max_depth': 10, 'classifier__n_estimators': 300}",0.4498432601880878,0.5517668939863609,0.5901038485033597,0.530571334225936,0.05919007221826339,120,0.7757713635717332,0.7762539682539683,0.7597113997113998,0.7705789105123672,0.007687015895941437
5,16.300784190495808,1.3002352684804401,0.2840023835500081,0.033343884682339765,10,350,"{'classifier__max_depth': 10, 'classifier__n_estimators': 350}",0.46475600309837334,0.5294117647058824,0.5745992601726264,0.5229223426589608,0.045077486842453975,177,0.7800969850305712,0.7762864957699892,0.7645907678139748,0.7736580828715117,0.00659758081247612
6,18.32887927691142,1.1561260353968474,0.31403334935506183,0.04087246526717789,10,400,"{'classifier__max_depth': 10, 'classifier__n_estimators': 400}",0.44462540716612375,0.545338441890166,0.575031525851198,0.5216651249691626,0.055807755722409036,182,0.7771873893021609,0.7770862441254921,0.7618715894577964,0.7720484076284831,0.007196215609429972
7,19.08516836166382,1.2298260472269038,0.31800317764282227,0.014739593259369967,10,450,"{'classifier__max_depth': 10, 'classifier__n_estimators': 450}",0.4768627450980392,0.5294871794871795,0.5935563816604709,0.5333021020818965,0.047716289527050634,96,0.7800788954635108,0.7781104669682105,0.7645778439683812,0.7742557354667009,0.006890324887125568
8,20.9154687722524,1.7204959803228956,0.3469371795654297,0.006424159766756717,10,500,"{'classifier__max_depth': 10, 'classifier__n_estimators': 500}",0.45655608214849924,0.5507614213197969,0.5792759051186017,0.5288644695289659,0.052438192892527,137,0.7822172200337648,0.7750684408225632,0.7611905860636825,0.7728254156400035,0.00872938354085986
9,22.941922028859455,1.816277325577843,0.3865017890930176,0.009793976592992066,10,550,"{'classifier__max_depth': 10, 'classifier__n_estimators': 550}",0.4444444444444445,0.5417721518987341,0.5805219605346913,0.5222461856259567,0.05724345735824068,180,0.784595852729581,0.7771732253574593,0.7705827937095282,0.7774506239321894,0.005724169124674629
10,24.973085800806682,2.027854880380962,0.43741464614868164,0.020133110787327067,10,600,"{'classifier__max_depth': 10, 'classifier__n_estimators': 600}",0.44039735099337746,0.535964353914704,0.5903083700440528,0.5222233583173781,0.06196740878992915,181,0.7795843347942881,0.7807670291929021,0.7684387111702434,0.7762633583858113,0.00555388870049312
11,27.136749029159546,2.144069510690898,0.4683668613433838,0.01463870917162784,10,650,"{'classifier__max_depth': 10, 'classifier__n_estimators': 650}",0.46129541864139023,0.5355541319666881,0.5849652558433355,0.5272716021504712,0.05082655069617519,150,0.7804158471480753,0.7805529075309819,0.7656421832494067,0.7755369793094881,0.006996901132648693
12,29.31071178118388,2.235459807973154,0.46439377466837567,0.014370447833377188,10,700,"{'classifier__max_depth': 10, 'classifier__n_estimators': 700}",0.43855421686746987,0.539440203562341,0.584975369458128,0.5209899299626463,0.06118331977710859,184,0.7863007930381078,0.7791149315504616,0.7661248336900562,0.7771801860928752,0.0083496412654595
13,31.301340262095135,2.5983451584176143,0.5179795424143473,0.01343144494336201,10,750,"{'classifier__max_depth': 10, 'classifier__n_estimators': 750}",0.4488817891373802,0.5572327044025157,0.5739910313901346,0.5267018416433434,0.05545076380525432,152,0.7809254680324974,0.7782368270514205,0.7641722045651546,0.7744448332163575,0.007346308466861347
14,5.1843593915303545,0.5143786552733899,0.10618710517883301,0.0024550290456071904,15,100,"{'classifier__max_depth': 15, 'classifier__n_estimators': 100}",0.4864468864468865,0.538558786346397,0.5881627620221949,0.5377228116051594,0.04152953949771892,50,0.8088957485618072,0.8109020441332749,0.8022754697465955,0.8073577541472258,0.00368587542986205
15,7.516922076543172,0.6100799135625431,0.13652459780375162,0.014823220407752025,15,150,"{'classifier__max_depth': 15, 'classifier__n_estimators': 150}",0.463302752293578,0.5479623824451411,0.6062111801242236,0.5391587716209809,0.058673289544244715,40,0.824450972163939,0.8227560050568902,0.814990183623975,0.8207323869482681,0.004118891649998097
