,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_miss_value__strategy,param_reduce_dim,param_reduce_dim__n_components,param_reduce_dim__k,param_reduce_dim__n_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,12.807672715187072,4.337255687325875,0.456524133682251,0.02092863895302396,constant,PCA(),0.91,,,"{'miss_value__strategy': 'constant', 'reduce_dim': PCA(), 'reduce_dim__n_components': 0.91}",0.3070871255346192,0.2910545607671621,0.42297608643838885,0.3424274097826279,0.32144380997340066,0.3286119496912708,0.3453181674120506,0.3133846168087608,0.37049722148490005,0.31273587982592654,0.3355536827719107,0.036133410259159,17,0.39293233938428274,0.4189388766896537,0.4215496171605321,0.3958244032452416,0.38659667397421327,0.3642474121574353,0.36100021411262956,0.35299967412755895,0.35669102604724817,0.3595219266289655,0.38103021635277606,0.02448260573281589
1,12.492864608764648,3.9306776909082863,0.4505545854568481,0.018501094607154666,constant,PCA(),0.93,,,"{'miss_value__strategy': 'constant', 'reduce_dim': PCA(), 'reduce_dim__n_components': 0.93}",0.2590068930051327,0.24792520646972116,0.3576672354202214,0.2785829307568438,0.255289195566395,0.27888693694130895,0.301615191633702,0.264552567285532,0.32457413770925597,0.2676352853965901,0.2835735580184703,0.03291420615320972,27,0.33914152914217977,0.3699082156176165,0.36637903815937567,0.3315313187112718,0.3203537085203309,0.31407145025243455,0.3201207996710933,0.30811267395301517,0.30740433120835897,0.31175824781604644,0.32887813130517235,0.021808658228858004
2,12.579147505760194,3.8665799522490882,0.45859222412109374,0.01936278534843492,constant,PCA(),0.95,,,"{'miss_value__strategy': 'constant', 'reduce_dim': PCA(), 'reduce_dim__n_components': 0.95}",0.2806402864540721,0.2795202683704831,0.40499511877643996,0.3217450828275453,0.292170327071865,0.2873060010968816,0.30722290129043694,0.26371884781488963,0.32658262663305065,0.27101497766143795,0.3034916437997102,0.03912394023860072,25,0.3658916133574278,0.4024695670830749,0.4092368319429776,0.3738241203551816,0.35652867082041395,0.32244738499156594,0.32639071887300597,0.3090410814145663,0.3103777229401052,0.3170548053235347,0.3493262517101854,0.035734804381629036
3,12.70648443698883,4.036098248587672,0.46464645862579346,0.018856605746614467,constant,PCA(),0.97,,,"{'miss_value__strategy': 'constant', 'reduce_dim': PCA(), 'reduce_dim__n_components': 0.97}",0.31652107027086424,0.308190842617409,0.4508503196236883,0.33458946105854864,0.30483879969490074,0.2946153479276959,0.3027214714714715,0.262746343302836,0.3267943899532496,0.26910331768511575,0.317097136360578,0.04948672429145701,23,0.40060666335156636,0.4269779266694032,0.4509756386576638,0.38604616387448837,0.36827399140508826,0.3286268467573198,0.3230765517706285,0.30714029757731554,0.3108153512093114,0.3180328690315596,0.36205723003043444,0.04943499155775423
4,13.189166474342347,3.9591849764300937,0.45482144355773924,0.03046074321198422,mean,PCA(),0.91,,,"{'miss_value__strategy': 'mean', 'reduce_dim': PCA(), 'reduce_dim__n_components': 0.91}",0.30326714481575096,0.2913379049149284,0.4245412389520828,0.34133583928793065,0.320775457179974,0.3280853780899389,0.345311701809086,0.3146349569777318,0.3711957824107357,0.3142434586871797,0.33547288631253386,0.036716586471192206,18,0.39233212280396124,0.4193006025404845,0.42214107754949176,0.3954112177386945,0.3864280076365396,0.3632811074641233,0.36063340550278933,0.35371018349919203,0.3572300314249846,0.3610652275256819,0.3811532983685943,0.024414648988419562
5,13.253512930870055,4.050719454827307,0.44496726989746094,0.01842488886441847,mean,PCA(),0.93,,,"{'miss_value__strategy': 'mean', 'reduce_dim': PCA(), 'reduce_dim__n_components': 0.93}",0.25566731871034365,0.24471332799172388,0.35093241845207046,0.2726792629973007,0.2505457699093872,0.2748125834722506,0.30036409479636095,0.26584317406986513,0.32991401555561634,0.2716005700525824,0.28170725360075016,0.03311286009905449,28,0.3379422345415932,0.36584042815495965,0.35968054737584454,0.3258562649301951,0.3162540747487152,0.310032681385422,0.31902048932018034,0.3085140044578545,0.3109581805976409,0.3160759524593963,0.3270174857971802,0.019705529228983346
6,13.188735222816467,4.082571703393962,0.4613769292831421,0.024674762487242145,mean,PCA(),0.95,,,"{'miss_value__strategy': 'mean', 'reduce_dim': PCA(), 'reduce_dim__n_components': 0.95}",0.27780139925012565,0.27637369056427435,0.40286924376331185,0.3195508005715751,0.29011830729561655,0.2854552644015161,0.30656947948789837,0.26460654682315654,0.3309677595678197,0.2734055590960341,0.3027718050821328,0.038999723904918356,26,0.36474258589053987,0.3982967881301364,0.40635391111957825,0.370709032182326,0.3549688927016098,0.31946471278340677,0.3250874709986428,0.30985143630716877,0.3147327964209004,0.3223319492614717,0.3486539575795781,0.03366803261364345
7,13.6078861951828,4.125201708142819,0.4678755283355713,0.020629005792684004,mean,PCA(),0.97,,,"{'miss_value__strategy': 'mean', 'reduce_dim': PCA(), 'reduce_dim__n_components': 0.97}",0.31132145097605074,0.3036911016909325,0.4471915743433592,0.331520564719441,0.3011942362681518,0.2905781482013699,0.30230089160724183,0.262594570980361,0.32946249920055554,0.2722184032210547,0.31520734412085183,0.04860307148971828,24,0.39886360991698167,0.4226542778308508,0.4455192895924771,0.38218243178113187,0.36483417111643335,0.32492883248628646,0.32237435694499406,0.30767482550139164,0.31220877846477263,0.3221884976695096,0.3603429071304829,0.04728747349192832
8,8.77762942314148,2.7259339466237322,0.37517921924591063,0.009405274736254866,constant,SelectKBest(k=20),,20,,"{'miss_value__strategy': 'constant', 'reduce_dim': SelectKBest(k=20), 'reduce_dim__k': 20}",0.5081873974921961,0.5055761586758372,0.5229936880072137,0.4771435257195557,0.4999933385736554,0.5180297909793936,0.4517074451022134,0.47764464318935046,0.4843403308195838,0.4599628384356751,0.49055791569946744,0.022941079655033107,3,0.5238270970408532,0.5213425618234995,0.5200339407529146,0.5126651567427979,0.5176839597316435,0.5113600440017607,0.4858171355581217,0.5098242969315995,0.49463097155987445,0.4764618288957011,0.5073646993038765,0.01537832230266112
9,9.06147735118866,2.6762089816767176,0.39113740921020507,0.010608127754269047,constant,SelectKBest(k=20),,30,,"{'miss_value__strategy': 'constant', 'reduce_dim': SelectKBest(k=20), 'reduce_dim__k': 30}",0.4692911119107593,0.4609130523791419,0.4810882979107278,0.4339297066569794,0.46717898080968523,0.4582810539523212,0.4228652255465699,0.4193288756810302,0.44944717671855927,0.42327442270736854,0.4485597904273143,0.02109622111426974,7,0.49892183782579325,0.49464079324996135,0.487643242878841,0.4766803453954851,0.4940942449969583,0.4643396409812358,0.45634072428555533,0.4593986716647742,0.4590472446494974,0.44449738152254914,0.47356041274506505,0.01831575747989958
