,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__n_components,param_miss_value__strategy,param_clf__n_estimators,param_clf__min_weight_fraction_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
8,31.629077355066936,7.339706023539638,2.395905097325643,0.08604834529868147,0.97,constant,111,0.0014,"{'reduce_dim__n_components': 0.97, 'miss_value__strategy': 'constant', 'clf__n_estimators': 111, 'clf__min_weight_fraction_leaf': 0.0014}",0.5027168362135883,0.4562956603663143,0.5017585949577607,0.48692369717922107,0.021660825404951255,1,0.5317475736014311,0.5172942338811203,0.513686606708423,0.5209094713969914,0.007803934392330801
17,29.399635871251423,6.892526444690889,2.1256912549336753,0.049701982167368715,0.95,mean,116,0.0019,"{'reduce_dim__n_components': 0.95, 'miss_value__strategy': 'mean', 'clf__n_estimators': 116, 'clf__min_weight_fraction_leaf': 0.0019}",0.5017961623955646,0.47292285366715486,0.4715305805650419,0.48208319887592044,0.013950753961532739,2,0.5234175922901013,0.5176633602296505,0.4953945692477521,0.5121585072558347,0.01208442550849387
15,20.485446214675903,4.631215144352475,1.695663849512736,0.05598843569380149,0.91,constant,59,0.001,"{'reduce_dim__n_components': 0.91, 'miss_value__strategy': 'constant', 'clf__n_estimators': 59, 'clf__min_weight_fraction_leaf': 0.001}",0.47005044908671634,0.47915524299806755,0.4869523343426703,0.47871934214248474,0.006907046569423724,3,0.5210622265560776,0.5162376231786654,0.51129255253955,0.5161974674247644,0.003988553786418685
5,26.504971345265705,5.824486520575653,2.0950358708699546,0.07797090971189201,0.98,constant,79,0.0012,"{'reduce_dim__n_components': 0.98, 'miss_value__strategy': 'constant', 'clf__n_estimators': 79, 'clf__min_weight_fraction_leaf': 0.0012}",0.47496572953669564,0.48137970547044096,0.47565108596933514,0.47733217365882386,0.002875681216045925,4,0.5327867773948511,0.5239189874814275,0.508767303965322,0.5218243562805336,0.009917136208226748
14,26.006614685058594,6.171772377895022,2.037504196166992,0.04048087926309556,0.97,constant,83,0.0016,"{'reduce_dim__n_components': 0.97, 'miss_value__strategy': 'constant', 'clf__n_estimators': 83, 'clf__min_weight_fraction_leaf': 0.0016}",0.48138239761251295,0.46228118787858735,0.48639481597604795,0.47668613382238273,0.010389351445768124,5,0.5271447015410538,0.5126380963762948,0.5070266030837007,0.5156031336670164,0.008476558105995026
0,45.43962581952413,9.949141747405877,3.4627226193745932,0.16584247048447978,0.94,constant,194,0.001,"{'reduce_dim__n_components': 0.94, 'miss_value__strategy': 'constant', 'clf__n_estimators': 194, 'clf__min_weight_fraction_leaf': 0.001}",0.47260538587527273,0.4697278726072967,0.4789310805844222,0.4737547796889972,0.0038440940737558787,6,0.5284029647867456,0.5182610134509736,0.5052607454145336,0.5173082412174176,0.009471761911586574
16,20.726277112960815,4.876566316394382,1.7052339712778728,0.05433687843174161,0.94,mean,55,0.0018,"{'reduce_dim__n_components': 0.94, 'miss_value__strategy': 'mean', 'clf__n_estimators': 55, 'clf__min_weight_fraction_leaf': 0.0018}",0.42388638097004927,0.5171315643104305,0.48008635450011167,0.47370143326019715,0.038333983778324435,7,0.518545257833848,0.5208365817026217,0.4933676775991182,0.5109165057118626,0.012444103486280556
3,40.139461040496826,9.27991911040017,2.8926378091176352,0.08067291254997623,0.94,constant,172,0.0012,"{'reduce_dim__n_components': 0.94, 'miss_value__strategy': 'constant', 'clf__n_estimators': 172, 'clf__min_weight_fraction_leaf': 0.0012}",0.46756393739206703,0.476637924087356,0.4685452962381298,0.47091571923918424,0.004065996191137454,8,0.5286573742179353,0.5180380222754979,0.5053788190897527,0.5173580718610621,0.009515584817849384
2,42.7231392065684,7.803289028766943,2.9484222730000815,0.12966512570492653,0.96,constant,193,0.0015,"{'reduce_dim__n_components': 0.96, 'miss_value__strategy': 'constant', 'clf__n_estimators': 193, 'clf__min_weight_fraction_leaf': 0.0015}",0.469831351663215,0.44852858015336244,0.4840605220580872,0.4674734846248882,0.014601355567389502,9,0.5330309956438446,0.5144615775769236,0.5018032887452931,0.5164319539886871,0.012824565150223365
13,28.657907088597614,6.1175968421305456,2.0968934694925943,0.09904806279041523,0.94,mean,106,0.0016,"{'reduce_dim__n_components': 0.94, 'miss_value__strategy': 'mean', 'clf__n_estimators': 106, 'clf__min_weight_fraction_leaf': 0.0016}",0.46331281437191835,0.4746246435894472,0.4608480695569921,0.4662618425061192,0.005998392741402234,10,0.5246652590248416,0.5186730432084854,0.5074241341873409,0.5169208121402227,0.007146879584966206
9,39.40556756655375,8.830768497334669,2.9055002530415854,0.2232840639099677,0.93,mean,177,0.0016,"{'reduce_dim__n_components': 0.93, 'miss_value__strategy': 'mean', 'clf__n_estimators': 177, 'clf__min_weight_fraction_leaf': 0.0016}",0.48558033585845206,0.4507441371438853,0.4588914045287046,0.465071959177014,0.014878163574867029,11,0.5283870862759137,0.5162320555740191,0.4971238182529164,0.513914320034283,0.012867968122267988
