,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,23.675243139266968,5.110196571634524,0.9674195448557535,0.07435552469387174,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.5207929636952424,0.4624679840313649,0.513144135438866,0.49880169438849115,0.02588088129180225,12,0.5292841878964101,0.5157358652124923,0.5231117602035368,0.5227106044374796,0.00553834851126646
1,61.014352560043335,9.119930600159678,2.1705610752105713,0.0023447899948120187,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.5166400021155346,0.4798447896637109,0.5116311422467332,0.5027053113419929,0.016293654344533916,11,0.5248752398352272,0.5196790881345812,0.5220514018301787,0.522201909933329,0.0021239880164236756
2,100.42511812845866,15.88168343380698,3.437152942021688,0.049029134175172656,5,500,"{'clf__max_depth': 5, 'clf__n_estimators': 500}",0.5161070156547668,0.48723563924136987,0.5125796468232297,0.5053074339064554,0.01285957242760392,10,0.5262580311837731,0.5236232256785105,0.5239962136972622,0.5246258235198485,0.001164146728771336
3,37.438389937082924,6.063078514240887,2.0665975411732993,0.0023666518653159816,15,100,"{'clf__max_depth': 15, 'clf__n_estimators': 100}",0.47900197717426146,0.4616074194194924,0.48016295674688986,0.47359078444688124,0.008486764064382823,16,0.5370148640750628,0.5220217872044323,0.5287895252787003,0.5292753921860651,0.006130532249917267
4,107.38253394762675,19.098932560901968,5.816538651784261,0.041495193572632455,15,300,"{'clf__max_depth': 15, 'clf__n_estimators': 300}",0.4797452476539279,0.4326147212811826,0.4780277744772933,0.4634625811374679,0.021823997064590456,17,0.5411198173780161,0.5251715812461273,0.5305157772686012,0.5322690586309148,0.006627822949817835
5,187.5456199645996,32.264599438778816,9.419819593429565,0.04541583605412303,15,500,"{'clf__max_depth': 15, 'clf__n_estimators': 500}",0.47802378483075625,0.43289620428412107,0.47788790292654276,0.4629359640138067,0.021241390246966807,18,0.5393815617522839,0.5221286188894163,0.5292900277460421,0.5302667361292475,0.007077263068291832
6,55.01241707801819,10.117193693070409,3.471705118815104,0.0027765986854985675,25,100,"{'clf__max_depth': 25, 'clf__n_estimators': 100}",0.5020803682694469,0.48786292076193793,0.49881783691647874,0.4962537086492878,0.006080845266635703,13,0.6409143749336856,0.6292873167837072,0.6133415385279773,0.6278477434151234,0.011302495461228607
7,168.08385229110718,29.566785503848934,10.154219468434652,0.19033157796778796,25,300,"{'clf__max_depth': 25, 'clf__n_estimators': 300}",0.49467146808621676,0.49276537077258287,0.4936252054411302,0.4936873480999766,0.0007794006350168317,14,0.6626408270949187,0.6408637401420053,0.6305903617533307,0.6446983096634181,0.01336253530619581
8,268.0681432088216,48.9846209433887,17.200738509496052,0.14429653557503974,25,500,"{'clf__max_depth': 25, 'clf__n_estimators': 500}",0.501698878877502,0.47469753290181843,0.48709592678580305,0.48783077952170784,0.011035493570965779,15,0.6652859162676861,0.643383707953286,0.6359192580469176,0.6481962940892966,0.012462500892711368
9,71.3680276075999,13.14098531180884,5.082699537277222,0.09017106703668516,35,100,"{'clf__max_depth': 35, 'clf__n_estimators': 100}",0.5304093922598926,0.5140362974131247,0.5199904190359319,0.5214787029029831,0.006766623991672047,7,0.750637965828471,0.7460651373108426,0.7327601399440015,0.7431544143611051,0.007583244497199015
10,222.42906363805136,46.399686962826564,14.5343496799469,0.34358020176764226,35,300,"{'clf__max_depth': 35, 'clf__n_estimators': 300}",0.5254442965630627,0.511275499362516,0.5169188902163813,0.51787956204732,0.005824137778969175,9,0.8119525791950842,0.8017176201341876,0.7907082616540091,0.8014594869944269,0.008674876809303605
11,363.08786424001056,70.03942013118609,24.222062985102337,0.21874951942085483,35,500,"{'clf__max_depth': 35, 'clf__n_estimators': 500}",0.5357255110746197,0.5045463155900738,0.5210949952710702,0.5204556073119212,0.01273688005982656,8,0.8334743587126083,0.8184190971692413,0.8111553450509564,0.821016266977602,0.009294929118157071
12,85.62886420885722,16.747198372811567,5.909546454747518,0.3311946912381695,45,100,"{'clf__max_depth': 45, 'clf__n_estimators': 100}",0.5321284948142754,0.5219063102818691,0.5252869365103479,0.5264405805354975,0.004252170822549676,6,0.8120874186063918,0.8089860534140898,0.8021235680055944,0.8077323466753586,0.004163205106550132
13,251.52711311976114,48.38900270367773,17.915130615234375,0.6169838391723708,45,300,"{'clf__max_depth': 45, 'clf__n_estimators': 300}",0.5405171186842729,0.5249151628453623,0.5298760229079674,0.5317694348125341,0.006508661561339894,4,0.8878144345586688,0.884837159864723,0.8811564462543546,0.8846026802259154,0.0027231645305731598
14,418.2733226617177,84.52746700307647,30.342684745788574,0.862162904716068,45,500,"{'clf__max_depth': 45, 'clf__n_estimators': 500}",0.5429709696762304,0.5256611851770534,0.5350573642614551,0.5345631730382463,0.007075324660433579,3,0.9108684526099903,0.9077134515903231,0.9074567524836099,0.9086795522279744,0.001551330024986872
15,89.8679404258728,19.541241793012503,6.5514436562856035,0.29136830839513184,55,100,"{'clf__max_depth': 55, 'clf__n_estimators': 100}",0.5328122911641348,0.5176409423233145,0.5305005313904503,0.5269845882926332,0.006674021691742818,5,0.8351705038894045,0.8333165298702813,0.8299689055267852,0.8328186464288235,0.0021525291051008423
