,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__min_weight_fraction_leaf,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,64.29734253883362,8.372576695483522,4.034233172734578,0.0953863306902099,0.0001,100,"{'clf__min_weight_fraction_leaf': 0.0001, 'clf__n_estimators': 100}",0.5115172901914349,0.4924129486598573,0.496257607443725,0.5000626154316724,0.008250354767323552,2,0.6218630207685184,0.6067095048396449,0.5949606445608575,0.6078443900563403,0.011012127700734767
1,182.62036609649658,30.94585454932951,12.151704947153727,0.09447023385267951,0.0001,300,"{'clf__min_weight_fraction_leaf': 0.0001, 'clf__n_estimators': 300}",0.5109497398364686,0.48687236859200583,0.5032676811349551,0.5003632631878099,0.010041802103198265,1,0.6369138538048686,0.61595251134654,0.6059036471512224,0.6195900041008771,0.012918507249391021
2,304.34909828503925,47.558756722297886,19.960288921991985,0.30051340177461494,0.0001,500,"{'clf__min_weight_fraction_leaf': 0.0001, 'clf__n_estimators': 500}",0.5071623383919726,0.48573929123465764,0.49491837107121295,0.4959400002326144,0.008775706314734405,3,0.6400288904325745,0.6201331084405974,0.6081776322085987,0.6227798770272569,0.01313721686852768
3,49.44408639272054,7.329741511183955,3.0898752212524414,0.146065464351169,0.0004,100,"{'clf__min_weight_fraction_leaf': 0.0004, 'clf__n_estimators': 100}",0.5135066087587904,0.4640760802029195,0.48785225621211586,0.4884783150579419,0.020184783882701004,4,0.5539574875464222,0.540867382819874,0.5393371209179331,0.5447206637614097,0.00656123009801573
4,142.41027426719666,21.807878126687964,8.812507311503092,0.34170632324727396,0.0004,300,"{'clf__min_weight_fraction_leaf': 0.0004, 'clf__n_estimators': 300}",0.5032934912379411,0.46483414953018465,0.4969724824947162,0.48836670775428065,0.01683893821495945,5,0.5529051462143644,0.5392299367208142,0.5389641360568214,0.543699739664,0.0065101098207000834
5,230.67869265874228,38.81697691849874,13.875761032104492,0.1753580611430397,0.0004,500,"{'clf__min_weight_fraction_leaf': 0.0004, 'clf__n_estimators': 500}",0.4901387822927596,0.47377471436382995,0.49842137472530523,0.4874449571272983,0.010240670136276362,6,0.5532061947234767,0.5383261911644031,0.5384518704996,0.5433280854624932,0.0069850664875274575
6,42.649051348368324,6.189197729814584,2.557977279027303,0.04650050595360198,0.0007,100,"{'clf__min_weight_fraction_leaf': 0.0007, 'clf__n_estimators': 100}",0.4923034808060814,0.46455366712601437,0.49355609595425143,0.4834710812954491,0.013386403059841545,7,0.539205956883746,0.525165053314969,0.5274612007244219,0.530610736974379,0.006149603087423254
7,123.98975841204326,17.99025762493438,7.272765318552653,0.2946812120360645,0.0007,300,"{'clf__min_weight_fraction_leaf': 0.0007, 'clf__n_estimators': 300}",0.4907241004575525,0.4593008044397112,0.48951389845596255,0.4798462677844088,0.014536235075548175,9,0.537223595703027,0.5239516781519404,0.5244500653776966,0.5285417797442213,0.00614234177458017
8,207.67606584231058,29.807061937086317,12.00456698735555,0.22034504047694617,0.0007,500,"{'clf__min_weight_fraction_leaf': 0.0007, 'clf__n_estimators': 500}",0.48643425997627154,0.4603956576844657,0.48562982252057074,0.477486580060436,0.01208956852417584,11,0.5386412606314278,0.5241875354067206,0.5269289082010543,0.5299192347464009,0.0062681248048459615
9,40.06868886947632,6.07505168514987,2.315972646077474,0.04967536768771931,0.001,100,"{'clf__min_weight_fraction_leaf': 0.001, 'clf__n_estimators': 100}",0.48685404730841225,0.4615744087387644,0.4875377308632254,0.47865539563680065,0.012081306244468385,10,0.5314235676953699,0.5216903529800136,0.5216549813061188,0.5249229673271675,0.004596641284614534
10,114.53563896814983,16.09478397876684,6.432430346806844,0.12880834352531875,0.001,300,"{'clf__min_weight_fraction_leaf': 0.001, 'clf__n_estimators': 300}",0.49347703974160934,0.44699631373462645,0.4912291796217638,0.4772341776993332,0.02140108301995768,12,0.5310832301416188,0.5181030629956451,0.5226086510782147,0.5239316480718262,0.005381073348207441
11,190.06609431902567,27.72719786171004,10.650798877080282,0.16376646229589234,0.001,500,"{'clf__min_weight_fraction_leaf': 0.001, 'clf__n_estimators': 500}",0.48494405860764134,0.453172788550049,0.4890682193987874,0.4757283555188259,0.0160378173186595,14,0.5313844305803628,0.5169723377549305,0.5223305676377454,0.5235624453243463,0.005947842571234163
12,37.8132852713267,5.669212158321367,2.148855209350586,0.05354439502654491,0.0013,100,"{'clf__min_weight_fraction_leaf': 0.0013, 'clf__n_estimators': 100}",0.49152286385652616,0.4475567376284475,0.5024642038356465,0.48051460177354005,0.023728939249918122,8,0.5296696945318784,0.5163587685109485,0.5201609905119045,0.5220631511849104,0.005598145484778268
13,108.63248904546101,15.661075130532971,6.034035762151082,0.24180621551750983,0.0013,300,"{'clf__min_weight_fraction_leaf': 0.0013, 'clf__n_estimators': 300}",0.4803012247124869,0.4560998202733174,0.4879684766667256,0.4747898405508433,0.013581466087115213,15,0.5290281007129048,0.514689794721827,0.5181166277172237,0.5206115077173185,0.006113649991867916
14,183.72948384284973,25.15440393214611,9.94584838549296,0.16169877920335016,0.0013,500,"{'clf__min_weight_fraction_leaf': 0.0013, 'clf__n_estimators': 500}",0.4809209582556305,0.4429744577221499,0.4897528769886754,0.4712160976554853,0.020292746926260798,17,0.529615110031187,0.5121939898551757,0.519117841644636,0.5203089805103329,0.007161841750778311
